datetime,AT_solar_generation_actual
2015-09-16,12381.7
2015-09-17,11561.43
2015-09-18,10103.37
2015-09-19,8782.23
2015-09-20,9585.710000000001
2015-09-21,13076.57
2015-09-22,11736.74
2015-09-23,7740.46
2015-09-24,8667.57
2015-09-25,9276.83
2015-09-26,8044.6900000000005
2015-09-27,10366.4
2015-09-28,11036.79
2015-09-29,9757.15
2015-09-30,11215.53
2015-10-01,12127.68
2015-10-02,12063.8
2015-10-03,10247.49
2015-10-04,8213.33
2015-10-05,10640.41
2015-10-06,7510.99
2015-10-07,6216.85
2015-10-08,6546.93
2015-10-09,7592.08
2015-10-10,7170.8
2015-10-11,6435.69
2015-10-12,9373.54
2015-10-13,6023.05
2015-10-14,5765.52
2015-10-15,5145.28
2015-10-16,5990.47
2015-10-17,7380.49
2015-10-18,6733.83
2015-10-19,4793.78
2015-10-20,7634.54
2015-10-21,6892.34
2015-10-22,7253.68
2015-10-23,7530.75
2015-10-24,8580.42
2015-10-25,6352.12
2015-10-26,7955.68
2015-10-27,6975.88
2015-10-28,6607.86
2015-10-29,5103.67
2015-10-30,6096.7
2015-10-31,7355.6
2015-11-01,8543.83
2015-11-02,7622.69
2015-11-03,7844.7
2015-11-04,6997.43
2015-11-05,5958.91
2015-11-06,6102.94
2015-11-07,5106.54
2015-11-08,6092.59
2015-11-09,5350.0199999999995
2015-11-10,6171.5199999999995
2015-11-11,6893.0
2015-11-12,6288.56
2015-11-13,5129.73
2015-11-14,5436.72
2015-11-15,3949.72
2015-11-16,6200.89
2015-11-17,4111.97
2015-11-18,6055.33
2015-11-19,5792.09
2015-11-20,3253.41
2015-11-21,3241.16
2015-11-22,2808.72
2015-11-23,3553.26
2015-11-24,4267.12
2015-11-25,2727.43
2015-11-26,2631.84
2015-11-27,3259.37
2015-11-28,3444.09
2015-11-29,2940.84
2015-11-30,3305.92
2015-12-01,2916.51
2015-12-02,4204.92
2015-12-03,3493.54
2015-12-04,3870.78
2015-12-05,3793.61
2015-12-06,3527.55
2015-12-07,3883.76
2015-12-08,2795.46
2015-12-09,2480.71
2015-12-10,3713.67
2015-12-11,3537.13
2015-12-12,2951.02
2015-12-13,3362.55
2015-12-14,3353.02
2015-12-15,2797.95
2015-12-16,2368.63
2015-12-17,2458.49
2015-12-18,2560.93
2015-12-19,3031.66
2015-12-20,3034.82
2015-12-21,2770.22
2015-12-22,3465.37
2015-12-23,3714.38
2015-12-24,3682.21
2015-12-25,3637.23
2015-12-26,3541.11
2015-12-27,3631.77
2015-12-28,3452.83
2015-12-29,2820.86
2015-12-30,2830.49
2015-12-31,2885.81
2016-01-01,2480.59
2016-01-02,1931.62
2016-01-03,1558.06
2016-01-04,1346.68
2016-01-05,1466.0
2016-01-06,1861.51
2016-01-07,2028.41
2016-01-08,2465.8
2016-01-09,1954.7
2016-01-10,2229.46
2016-01-11,2238.51
2016-01-12,2775.41
2016-01-13,2880.69
2016-01-14,3501.15
2016-01-15,3074.64
2016-01-16,2658.35
2016-01-17,2064.97
2016-01-18,2552.2799999999997
2016-01-19,2058.61
2016-01-20,2464.59
2016-01-21,3201.22
2016-01-22,3031.96
2016-01-23,2096.84
2016-01-24,2568.65
2016-01-25,2918.6
2016-01-26,3981.8
2016-01-27,4018.94
2016-01-28,3919.71
2016-01-29,4956.85
2016-01-30,4773.52
2016-01-31,3067.71
2016-02-01,4455.28
2016-02-02,5137.93
2016-02-03,3184.16
2016-02-04,4515.7
2016-02-05,4544.63
2016-02-06,6066.8
2016-02-07,6019.11
2016-02-08,5541.88
2016-02-09,6305.37
2016-02-10,3493.02
2016-02-11,6043.52
2016-02-12,6710.13
2016-02-13,5283.08
2016-02-14,6351.55
2016-02-15,4729.29
2016-02-16,4457.09
2016-02-17,3653.44
2016-02-18,6826.69
2016-02-19,5114.42
2016-02-20,7797.45
2016-02-21,6273.59
2016-02-22,10452.35
2016-02-23,6350.42
2016-02-24,8630.55
2016-02-25,6221.95
2016-02-26,9188.83
2016-02-27,9769.43
2016-02-28,7482.67
2016-02-29,5950.13
2016-03-01,7060.3
2016-03-02,7513.32
2016-03-03,6522.17
2016-03-04,8329.51
2016-03-05,8828.52
2016-03-06,8553.19
2016-03-07,7602.74
2016-03-08,7444.86
2016-03-09,9857.79
2016-03-10,10485.69
2016-03-11,7302.39
2016-03-12,7485.82
2016-03-13,8203.02
2016-03-14,12108.05
2016-03-15,7750.31
2016-03-16,10174.35
2016-03-17,13033.74
2016-03-18,13082.33
2016-03-19,11001.78
2016-03-20,13318.74
2016-03-21,13395.15
2016-03-22,11521.1
2016-03-23,9884.47
2016-03-24,11019.6
2016-03-25,10111.17
2016-03-26,9941.38
2016-03-27,14129.36
2016-03-28,12609.45
2016-03-29,11226.67
2016-03-30,12272.11
2016-03-31,14758.16
2016-04-01,13738.15
2016-04-02,15499.369999999999
2016-04-03,15664.4
2016-04-04,14476.58
2016-04-05,15545.19
2016-04-06,10978.39
2016-04-07,10303.39
2016-04-08,7082.58
2016-04-09,8580.56
2016-04-10,12915.539999999999
2016-04-11,16706.63
2016-04-12,15067.45
2016-04-13,15715.73
2016-04-14,11059.33
2016-04-15,13450.36
2016-04-16,16284.58
2016-04-17,13656.74
2016-04-18,10336.49
2016-04-19,14363.03
2016-04-20,16763.78
2016-04-21,18793.21
2016-04-22,17261.77
2016-04-23,12027.14
2016-04-24,12904.49
2016-04-25,13336.01
2016-04-26,15128.39
2016-04-27,9536.83
2016-04-28,15196.98
2016-04-29,18973.6
2016-04-30,20001.93
2016-05-01,12889.43
2016-05-02,12098.15
2016-05-03,12481.28
2016-05-04,10459.56
2016-05-05,15496.699999999999
