"Area","MTU","Solar  - Actual Aggregated [MW]"
"Austria (AT)","01.01.2016 18:45 - 01.01.2016 19:00 (UTC)","0"
"Austria (AT)","01.01.2016 19:00 - 01.01.2016 19:15 (UTC)","0"
"Austria (AT)","01.01.2016 19:15 - 01.01.2016 19:30 (UTC)","0"
"Austria (AT)","01.01.2016 19:30 - 01.01.2016 19:45 (UTC)","0"
"Austria (AT)","01.01.2016 19:45 - 01.01.2016 20:00 (UTC)","0"
"Austria (AT)","01.01.2016 20:00 - 01.01.2016 20:15 (UTC)","0"
"Austria (AT)","01.01.2016 20:15 - 01.01.2016 20:30 (UTC)","0"
"Austria (AT)","01.01.2016 20:30 - 01.01.2016 20:45 (UTC)","0"
"Austria (AT)","01.01.2016 20:45 - 01.01.2016 21:00 (UTC)","0"
"Austria (AT)","01.01.2016 21:00 - 01.01.2016 21:15 (UTC)","0"
"Austria (AT)","01.01.2016 21:15 - 01.01.2016 21:30 (UTC)","0"
"Austria (AT)","01.01.2016 21:30 - 01.01.2016 21:45 (UTC)","0"
"Austria (AT)","01.01.2016 21:45 - 01.01.2016 22:00 (UTC)","0"
"Austria (AT)","01.01.2016 22:00 - 01.01.2016 22:15 (UTC)","0"
"Austria (AT)","01.01.2016 22:15 - 01.01.2016 22:30 (UTC)","0"
"Austria (AT)","01.01.2016 22:30 - 01.01.2016 22:45 (UTC)","0"
"Austria (AT)","01.01.2016 22:45 - 01.01.2016 23:00 (UTC)","0"
"Austria (AT)","01.01.2016 23:00 - 01.01.2016 23:15 (UTC)","0"
"Austria (AT)","01.01.2016 23:15 - 01.01.2016 23:30 (UTC)","0"
"Austria (AT)","01.01.2016 23:30 - 01.01.2016 23:45 (UTC)","0"
"Austria (AT)","01.01.2016 23:45 - 02.01.2016 00:00 (UTC)","0"
"Austria (AT)","02.01.2016 00:00 - 02.01.2016 00:15 (UTC)","0"
"Austria (AT)","02.01.2016 00:15 - 02.01.2016 00:30 (UTC)","0"
"Austria (AT)","02.01.2016 00:30 - 02.01.2016 00:45 (UTC)","0"
"Austria (AT)","02.01.2016 00:45 - 02.01.2016 01:00 (UTC)","0"
"Austria (AT)","02.01.2016 01:00 - 02.01.2016 01:15 (UTC)","0"
"Austria (AT)","02.01.2016 01:15 - 02.01.2016 01:30 (UTC)","0"
"Austria (AT)","02.01.2016 01:30 - 02.01.2016 01:45 (UTC)","0"
"Austria (AT)","02.01.2016 01:45 - 02.01.2016 02:00 (UTC)","0"
"Austria (AT)","02.01.2016 02:00 - 02.01.2016 02:15 (UTC)","0"
"Austria (AT)","02.01.2016 02:15 - 02.01.2016 02:30 (UTC)","0"
"Austria (AT)","02.01.2016 02:30 - 02.01.2016 02:45 (UTC)","0"
"Austria (AT)","02.01.2016 02:45 - 02.01.2016 03:00 (UTC)","0"
"Austria (AT)","02.01.2016 03:00 - 02.01.2016 03:15 (UTC)","0"
"Austria (AT)","02.01.2016 03:15 - 02.01.2016 03:30 (UTC)","0"
"Austria (AT)","02.01.2016 03:30 - 02.01.2016 03:45 (UTC)","0"
"Austria (AT)","02.01.2016 03:45 - 02.01.2016 04:00 (UTC)","0"
"Austria (AT)","02.01.2016 04:00 - 02.01.2016 04:15 (UTC)","0"
"Austria (AT)","02.01.2016 04:15 - 02.01.2016 04:30 (UTC)","0"
"Austria (AT)","02.01.2016 04:30 - 02.01.2016 04:45 (UTC)","0"
"Austria (AT)","02.01.2016 04:45 - 02.01.2016 05:00 (UTC)","0"
"Austria (AT)","02.01.2016 05:00 - 02.01.2016 05:15 (UTC)","0"
"Austria (AT)","02.01.2016 05:15 - 02.01.2016 05:30 (UTC)","0"
"Austria (AT)","02.01.2016 05:30 - 02.01.2016 05:45 (UTC)","0"
"Austria (AT)","02.01.2016 05:45 - 02.01.2016 06:00 (UTC)","0"
"Austria (AT)","02.01.2016 06:00 - 02.01.2016 06:15 (UTC)","8"
"Austria (AT)","02.01.2016 06:15 - 02.01.2016 06:30 (UTC)","8"
"Austria (AT)","02.01.2016 06:30 - 02.01.2016 06:45 (UTC)","8"
"Austria (AT)","02.01.2016 06:45 - 02.01.2016 07:00 (UTC)","8"
"Austria (AT)","02.01.2016 07:00 - 02.01.2016 07:15 (UTC)","10"
"Austria (AT)","02.01.2016 07:15 - 02.01.2016 07:30 (UTC)","12"
"Austria (AT)","02.01.2016 07:30 - 02.01.2016 07:45 (UTC)","15"
"Austria (AT)","02.01.2016 07:45 - 02.01.2016 08:00 (UTC)","18"
"Austria (AT)","02.01.2016 08:00 - 02.01.2016 08:15 (UTC)","25"
"Austria (AT)","02.01.2016 08:15 - 02.01.2016 08:30 (UTC)","33"
"Austria (AT)","02.01.2016 08:30 - 02.01.2016 08:45 (UTC)","40"
"Austria (AT)","02.01.2016 08:45 - 02.01.2016 09:00 (UTC)","47"
"Austria (AT)","02.01.2016 09:00 - 02.01.2016 09:15 (UTC)","53"
"Austria (AT)","02.01.2016 09:15 - 02.01.2016 09:30 (UTC)","58"
"Austria (AT)","02.01.2016 09:30 - 02.01.2016 09:45 (UTC)","63"
"Austria (AT)","02.01.2016 09:45 - 02.01.2016 10:00 (UTC)","69"
"Austria (AT)","02.01.2016 10:00 - 02.01.2016 10:15 (UTC)","73"
"Austria (AT)","02.01.2016 10:15 - 02.01.2016 10:30 (UTC)","77"
"Austria (AT)","02.01.2016 10:30 - 02.01.2016 10:45 (UTC)","81"
"Austria (AT)","02.01.2016 10:45 - 02.01.2016 11:00 (UTC)","85"
"Austria (AT)","02.01.2016 11:00 - 02.01.2016 11:15 (UTC)","86"
"Austria (AT)","02.01.2016 11:15 - 02.01.2016 11:30 (UTC)","87"
"Austria (AT)","02.01.2016 11:30 - 02.01.2016 11:45 (UTC)","87"
"Austria (AT)","02.01.2016 11:45 - 02.01.2016 12:00 (UTC)","88"
"Austria (AT)","02.01.2016 12:00 - 02.01.2016 12:15 (UTC)","86"
"Austria (AT)","02.01.2016 12:15 - 02.01.2016 12:30 (UTC)","83"
