"Area","MTU","Solar  - Actual Aggregated [MW]"
"Austria (AT)","16.04.2016 03:45 - 16.04.2016 04:00 (UTC)","0"
"Austria (AT)","16.04.2016 04:00 - 16.04.2016 04:15 (UTC)","2"
"Austria (AT)","16.04.2016 04:15 - 16.04.2016 04:30 (UTC)","5"
"Austria (AT)","16.04.2016 04:30 - 16.04.2016 04:45 (UTC)","8"
"Austria (AT)","16.04.2016 04:45 - 16.04.2016 05:00 (UTC)","12"
"Austria (AT)","16.04.2016 05:00 - 16.04.2016 05:15 (UTC)","37"
"Austria (AT)","16.04.2016 05:15 - 16.04.2016 05:30 (UTC)","55"
"Austria (AT)","16.04.2016 05:30 - 16.04.2016 05:45 (UTC)","74"
"Austria (AT)","16.04.2016 05:45 - 16.04.2016 06:00 (UTC)","92"
"Austria (AT)","16.04.2016 06:00 - 16.04.2016 06:15 (UTC)","120"
"Austria (AT)","16.04.2016 06:15 - 16.04.2016 06:30 (UTC)","148"
"Austria (AT)","16.04.2016 06:30 - 16.04.2016 06:45 (UTC)","177"
"Austria (AT)","16.04.2016 06:45 - 16.04.2016 07:00 (UTC)","205"
"Austria (AT)","16.04.2016 07:00 - 16.04.2016 07:15 (UTC)","234"
"Austria (AT)","16.04.2016 07:15 - 16.04.2016 07:30 (UTC)","263"
"Austria (AT)","16.04.2016 07:30 - 16.04.2016 07:45 (UTC)","292"
"Austria (AT)","16.04.2016 07:45 - 16.04.2016 08:00 (UTC)","321"
"Austria (AT)","16.04.2016 08:00 - 16.04.2016 08:15 (UTC)","347"
"Austria (AT)","16.04.2016 08:15 - 16.04.2016 08:30 (UTC)","374"
"Austria (AT)","16.04.2016 08:30 - 16.04.2016 08:45 (UTC)","400"
"Austria (AT)","16.04.2016 08:45 - 16.04.2016 09:00 (UTC)","427"
"Austria (AT)","16.04.2016 09:00 - 16.04.2016 09:15 (UTC)","447"
"Austria (AT)","16.04.2016 09:15 - 16.04.2016 09:30 (UTC)","464"
"Austria (AT)","16.04.2016 09:30 - 16.04.2016 09:45 (UTC)","481"
"Austria (AT)","16.04.2016 09:45 - 16.04.2016 10:00 (UTC)","498"
"Austria (AT)","16.04.2016 10:00 - 16.04.2016 10:15 (UTC)","506"
"Austria (AT)","16.04.2016 10:15 - 16.04.2016 10:30 (UTC)","515"
"Austria (AT)","16.04.2016 10:30 - 16.04.2016 10:45 (UTC)","523"
"Austria (AT)","16.04.2016 10:45 - 16.04.2016 11:00 (UTC)","532"
"Austria (AT)","16.04.2016 11:00 - 16.04.2016 11:15 (UTC)","531"
"Austria (AT)","16.04.2016 11:15 - 16.04.2016 11:30 (UTC)","528"
"Austria (AT)","16.04.2016 11:30 - 16.04.2016 11:45 (UTC)","526"
"Austria (AT)","16.04.2016 11:45 - 16.04.2016 12:00 (UTC)","523"
"Austria (AT)","16.04.2016 12:00 - 16.04.2016 12:15 (UTC)","511"
"Austria (AT)","16.04.2016 12:15 - 16.04.2016 12:30 (UTC)","501"
"Austria (AT)","16.04.2016 12:30 - 16.04.2016 12:45 (UTC)","490"
"Austria (AT)","16.04.2016 12:45 - 16.04.2016 13:00 (UTC)","479"
"Austria (AT)","16.04.2016 13:00 - 16.04.2016 13:15 (UTC)","461"
"Austria (AT)","16.04.2016 13:15 - 16.04.2016 13:30 (UTC)","443"
"Austria (AT)","16.04.2016 13:30 - 16.04.2016 13:45 (UTC)","424"
"Austria (AT)","16.04.2016 13:45 - 16.04.2016 14:00 (UTC)","405"
"Austria (AT)","16.04.2016 14:00 - 16.04.2016 14:15 (UTC)","380"
"Austria (AT)","16.04.2016 14:15 - 16.04.2016 14:30 (UTC)","355"
"Austria (AT)","16.04.2016 14:30 - 16.04.2016 14:45 (UTC)","330"
"Austria (AT)","16.04.2016 14:45 - 16.04.2016 15:00 (UTC)","305"
"Austria (AT)","16.04.2016 15:00 - 16.04.2016 15:15 (UTC)","277"
"Austria (AT)","16.04.2016 15:15 - 16.04.2016 15:30 (UTC)","246"
"Austria (AT)","16.04.2016 15:30 - 16.04.2016 15:45 (UTC)","216"
"Austria (AT)","16.04.2016 15:45 - 16.04.2016 16:00 (UTC)","185"
"Austria (AT)","16.04.2016 16:00 - 16.04.2016 16:15 (UTC)","157"
"Austria (AT)","16.04.2016 16:15 - 16.04.2016 16:30 (UTC)","131"
"Austria (AT)","16.04.2016 16:30 - 16.04.2016 16:45 (UTC)","104"
"Austria (AT)","16.04.2016 16:45 - 16.04.2016 17:00 (UTC)","78"
"Austria (AT)","16.04.2016 17:00 - 16.04.2016 17:15 (UTC)","54"
"Austria (AT)","16.04.2016 17:15 - 16.04.2016 17:30 (UTC)","39"
"Austria (AT)","16.04.2016 17:30 - 16.04.2016 17:45 (UTC)","24"
"Austria (AT)","16.04.2016 17:45 - 16.04.2016 18:00 (UTC)","10"
"Austria (AT)","16.04.2016 18:00 - 16.04.2016 18:15 (UTC)","7"
"Austria (AT)","16.04.2016 18:15 - 16.04.2016 18:30 (UTC)","4"
"Austria (AT)","16.04.2016 18:30 - 16.04.2016 18:45 (UTC)","2"
"Austria (AT)","16.04.2016 18:45 - 16.04.2016 19:00 (UTC)","0"
"Austria (AT)","16.04.2016 19:00 - 16.04.2016 19:15 (UTC)","0"
"Austria (AT)","16.04.2016 19:15 - 16.04.2016 19:30 (UTC)","0"
"Austria (AT)","16.04.2016 19:30 - 16.04.2016 19:45 (UTC)","0"
"Austria (AT)","16.04.2016 19:45 - 16.04.2016 20:00 (UTC)","0"
"Austria (AT)","16.04.2016 20:00 - 16.04.2016 20:15 (UTC)","0"
"Austria (AT)","16.04.2016 20:15 - 16.04.2016 20:30 (UTC)","0"
"Austria (AT)","16.04.2016 20:30 - 16.04.2016 20:45 (UTC)","0"
"Austria (AT)","16.04.2016 20:45 - 16.04.2016 21:00 (UTC)","0"
"Austria (AT)","16.04.2016 21:00 - 16.04.2016 21:15 (UTC)","0"
"Austria (AT)","16.04.2016 21:15 - 16.04.2016 21:30 (UTC)","0"
"Austria (AT)","16.04.2016 21:30 - 16.04.2016 21:45 (UTC)","0"
"Austria (AT)","16.04.2016 21:45 - 16.04.2016 22:00 (UTC)","0"
"Austria (AT)","16.04.2016 22:00 - 16.04.2016 22:15 (UTC)","0"
"Austria (AT)","16.04.2016 22:15 - 16.04.2016 22:30 (UTC)","0"
"Austria (AT)","16.04.2016 22:30 - 16.04.2016 22:45 (UTC)","0"
"Austria (AT)","16.04.2016 22:45 - 16.04.2016 23:00 (UTC)","0"
"Austria (AT)","16.04.2016 23:00 - 16.04.2016 23:15 (UTC)","0"
"Austria (AT)","16.04.2016 23:15 - 16.04.2016 23:30 (UTC)","0"
"Austria (AT)","16.04.2016 23:30 - 16.04.2016 23:45 (UTC)","0"
"Austria (AT)","16.04.2016 23:45 - 17.04.2016 00:00 (UTC)","0"
"Austria (AT)","17.04.2016 00:00 - 17.04.2016 00:15 (UTC)","0"
"Austria (AT)","17.04.2016 00:15 - 17.04.2016 00:30 (UTC)","0"
"Austria (AT)","17.04.2016 00:30 - 17.04.2016 00:45 (UTC)","0"
"Austria (AT)","17.04.2016 00:45 - 17.04.2016 01:00 (UTC)","0"
"Austria (AT)","17.04.2016 01:00 - 17.04.2016 01:15 (UTC)","0"
"Austria (AT)","17.04.2016 01:15 - 17.04.2016 01:30 (UTC)","0"
"Austria (AT)","17.04.2016 01:30 - 17.04.2016 01:45 (UTC)","0"
"Austria (AT)","17.04.2016 01:45 - 17.04.2016 02:00 (UTC)","0"
"Austria (AT)","17.04.2016 02:00 - 17.04.2016 02:15 (UTC)","0"
"Austria (AT)","17.04.2016 02:15 - 17.04.2016 02:30 (UTC)","0"
"Austria (AT)","17.04.2016 02:30 - 17.04.2016 02:45 (UTC)","0"
"Austria (AT)","17.04.2016 02:45 - 17.04.2016 03:00 (UTC)","0"
"Austria (AT)","17.04.2016 03:00 - 17.04.2016 03:15 (UTC)","0"
"Austria (AT)","17.04.2016 03:15 - 17.04.2016 03:30 (UTC)","0"
"Austria (AT)","17.04.2016 03:30 - 17.04.2016 03:45 (UTC)","0"
"Austria (AT)","17.04.2016 03:45 - 17.04.2016 04:00 (UTC)","0"
"Austria (AT)","17.04.2016 04:00 - 17.04.2016 04:15 (UTC)","3"
"Austria (AT)","17.04.2016 04:15 - 17.04.2016 04:30 (UTC)","5"
"Austria (AT)","17.04.2016 04:30 - 17.04.2016 04:45 (UTC)","8"
"Austria (AT)","17.04.2016 04:45 - 17.04.2016 05:00 (UTC)","12"
"Austria (AT)","17.04.2016 05:00 - 17.04.2016 05:15 (UTC)","35"
"Austria (AT)","17.04.2016 05:15 - 17.04.2016 05:30 (UTC)","52"
"Austria (AT)","17.04.2016 05:30 - 17.04.2016 05:45 (UTC)","69"
"Austria (AT)","17.04.2016 05:45 - 17.04.2016 06:00 (UTC)","86"
"Austria (AT)","17.04.2016 06:00 - 17.04.2016 06:15 (UTC)","111"
"Austria (AT)","17.04.2016 06:15 - 17.04.2016 06:30 (UTC)","137"
"Austria (AT)","17.04.2016 06:30 - 17.04.2016 06:45 (UTC)","163"
"Austria (AT)","17.04.2016 06:45 - 17.04.2016 07:00 (UTC)","189"
"Austria (AT)","17.04.2016 07:00 - 17.04.2016 07:15 (UTC)","216"
"Austria (AT)","17.04.2016 07:15 - 17.04.2016 07:30 (UTC)","242"
"Austria (AT)","17.04.2016 07:30 - 17.04.2016 07:45 (UTC)","269"
"Austria (AT)","17.04.2016 07:45 - 17.04.2016 08:00 (UTC)","295"
"Austria (AT)","17.04.2016 08:00 - 17.04.2016 08:15 (UTC)","318"
"Austria (AT)","17.04.2016 08:15 - 17.04.2016 08:30 (UTC)","341"
"Austria (AT)","17.04.2016 08:30 - 17.04.2016 08:45 (UTC)","363"
"Austria (AT)","17.04.2016 08:45 - 17.04.2016 09:00 (UTC)","386"
"Austria (AT)","17.04.2016 09:00 - 17.04.2016 09:15 (UTC)","400"
"Austria (AT)","17.04.2016 09:15 - 17.04.2016 09:30 (UTC)","414"
"Austria (AT)","17.04.2016 09:30 - 17.04.2016 09:45 (UTC)","429"
"Austria (AT)","17.04.2016 09:45 - 17.04.2016 10:00 (UTC)","443"
"Austria (AT)","17.04.2016 10:00 - 17.04.2016 10:15 (UTC)","446"
"Austria (AT)","17.04.2016 10:15 - 17.04.2016 10:30 (UTC)","448"
"Austria (AT)","17.04.2016 10:30 - 17.04.2016 10:45 (UTC)","450"
"Austria (AT)","17.04.2016 10:45 - 17.04.2016 11:00 (UTC)","452"
"Austria (AT)","17.04.2016 11:00 - 17.04.2016 11:15 (UTC)","445"
"Austria (AT)","17.04.2016 11:15 - 17.04.2016 11:30 (UTC)","438"
"Austria (AT)","17.04.2016 11:30 - 17.04.2016 11:45 (UTC)","431"
"Austria (AT)","17.04.2016 11:45 - 17.04.2016 12:00 (UTC)","424"
"Austria (AT)","17.04.2016 12:00 - 17.04.2016 12:15 (UTC)","411"
"Austria (AT)","17.04.2016 12:15 - 17.04.2016 12:30 (UTC)","400"
"Austria (AT)","17.04.2016 12:30 - 17.04.2016 12:45 (UTC)","388"
"Austria (AT)","17.04.2016 12:45 - 17.04.2016 13:00 (UTC)","377"
"Austria (AT)","17.04.2016 13:00 - 17.04.2016 13:15 (UTC)","359"
"Austria (AT)","17.04.2016 13:15 - 17.04.2016 13:30 (UTC)","341"
"Austria (AT)","17.04.2016 13:30 - 17.04.2016 13:45 (UTC)","323"
"Austria (AT)","17.04.2016 13:45 - 17.04.2016 14:00 (UTC)","305"
"Austria (AT)","17.04.2016 14:00 - 17.04.2016 14:15 (UTC)","286"
"Austria (AT)","17.04.2016 14:15 - 17.04.2016 14:30 (UTC)","267"
"Austria (AT)","17.04.2016 14:30 - 17.04.2016 14:45 (UTC)","247"
"Austria (AT)","17.04.2016 14:45 - 17.04.2016 15:00 (UTC)","227"
"Austria (AT)","17.04.2016 15:00 - 17.04.2016 15:15 (UTC)","206"
"Austria (AT)","17.04.2016 15:15 - 17.04.2016 15:30 (UTC)","185"
"Austria (AT)","17.04.2016 15:30 - 17.04.2016 15:45 (UTC)","164"
"Austria (AT)","17.04.2016 15:45 - 17.04.2016 16:00 (UTC)","144"
"Austria (AT)","17.04.2016 16:00 - 17.04.2016 16:15 (UTC)","124"
"Austria (AT)","17.04.2016 16:15 - 17.04.2016 16:30 (UTC)","105"
"Austria (AT)","17.04.2016 16:30 - 17.04.2016 16:45 (UTC)","86"
"Austria (AT)","17.04.2016 16:45 - 17.04.2016 17:00 (UTC)","67"
"Austria (AT)","17.04.2016 17:00 - 17.04.2016 17:15 (UTC)","47"
"Austria (AT)","17.04.2016 17:15 - 17.04.2016 17:30 (UTC)","34"
"Austria (AT)","17.04.2016 17:30 - 17.04.2016 17:45 (UTC)","22"
"Austria (AT)","17.04.2016 17:45 - 17.04.2016 18:00 (UTC)","9"
"Austria (AT)","17.04.2016 18:00 - 17.04.2016 18:15 (UTC)","7"
"Austria (AT)","17.04.2016 18:15 - 17.04.2016 18:30 (UTC)","4"
"Austria (AT)","17.04.2016 18:30 - 17.04.2016 18:45 (UTC)","2"
"Austria (AT)","17.04.2016 18:45 - 17.04.2016 19:00 (UTC)","0"
"Austria (AT)","17.04.2016 19:00 - 17.04.2016 19:15 (UTC)","0"
"Austria (AT)","17.04.2016 19:15 - 17.04.2016 19:30 (UTC)","0"
"Austria (AT)","17.04.2016 19:30 - 17.04.2016 19:45 (UTC)","0"
"Austria (AT)","17.04.2016 19:45 - 17.04.2016 20:00 (UTC)","0"
"Austria (AT)","17.04.2016 20:00 - 17.04.2016 20:15 (UTC)","0"
"Austria (AT)","17.04.2016 20:15 - 17.04.2016 20:30 (UTC)","0"
"Austria (AT)","17.04.2016 20:30 - 17.04.2016 20:45 (UTC)","0"
"Austria (AT)","17.04.2016 20:45 - 17.04.2016 21:00 (UTC)","0"
"Austria (AT)","17.04.2016 21:00 - 17.04.2016 21:15 (UTC)","0"
"Austria (AT)","17.04.2016 21:15 - 17.04.2016 21:30 (UTC)","0"
"Austria (AT)","17.04.2016 21:30 - 17.04.2016 21:45 (UTC)","0"
"Austria (AT)","17.04.2016 21:45 - 17.04.2016 22:00 (UTC)","0"
"Austria (AT)","17.04.2016 22:00 - 17.04.2016 22:15 (UTC)","0"
"Austria (AT)","17.04.2016 22:15 - 17.04.2016 22:30 (UTC)","0"
"Austria (AT)","17.04.2016 22:30 - 17.04.2016 22:45 (UTC)","0"
"Austria (AT)","17.04.2016 22:45 - 17.04.2016 23:00 (UTC)","0"
"Austria (AT)","17.04.2016 23:00 - 17.04.2016 23:15 (UTC)","0"
"Austria (AT)","17.04.2016 23:15 - 17.04.2016 23:30 (UTC)","0"
"Austria (AT)","17.04.2016 23:30 - 17.04.2016 23:45 (UTC)","0"
"Austria (AT)","17.04.2016 23:45 - 18.04.2016 00:00 (UTC)","0"
"Austria (AT)","18.04.2016 00:00 - 18.04.2016 00:15 (UTC)","0"
"Austria (AT)","18.04.2016 00:15 - 18.04.2016 00:30 (UTC)","0"
"Austria (AT)","18.04.2016 00:30 - 18.04.2016 00:45 (UTC)","0"
"Austria (AT)","18.04.2016 00:45 - 18.04.2016 01:00 (UTC)","0"
"Austria (AT)","18.04.2016 01:00 - 18.04.2016 01:15 (UTC)","0"
"Austria (AT)","18.04.2016 01:15 - 18.04.2016 01:30 (UTC)","0"
"Austria (AT)","18.04.2016 01:30 - 18.04.2016 01:45 (UTC)","0"
"Austria (AT)","18.04.2016 01:45 - 18.04.2016 02:00 (UTC)","0"
"Austria (AT)","18.04.2016 02:00 - 18.04.2016 02:15 (UTC)","0"
"Austria (AT)","18.04.2016 02:15 - 18.04.2016 02:30 (UTC)","0"
"Austria (AT)","18.04.2016 02:30 - 18.04.2016 02:45 (UTC)","0"
"Austria (AT)","18.04.2016 02:45 - 18.04.2016 03:00 (UTC)","0"
"Austria (AT)","18.04.2016 03:00 - 18.04.2016 03:15 (UTC)","0"
"Austria (AT)","18.04.2016 03:15 - 18.04.2016 03:30 (UTC)","0"
"Austria (AT)","18.04.2016 03:30 - 18.04.2016 03:45 (UTC)","0"
"Austria (AT)","18.04.2016 03:45 - 18.04.2016 04:00 (UTC)","0"
"Austria (AT)","18.04.2016 04:00 - 18.04.2016 04:15 (UTC)","1"
"Austria (AT)","18.04.2016 04:15 - 18.04.2016 04:30 (UTC)","3"
"Austria (AT)","18.04.2016 04:30 - 18.04.2016 04:45 (UTC)","5"
"Austria (AT)","18.04.2016 04:45 - 18.04.2016 05:00 (UTC)","7"
"Austria (AT)","18.04.2016 05:00 - 18.04.2016 05:15 (UTC)","25"
"Austria (AT)","18.04.2016 05:15 - 18.04.2016 05:30 (UTC)","36"
"Austria (AT)","18.04.2016 05:30 - 18.04.2016 05:45 (UTC)","47"
"Austria (AT)","18.04.2016 05:45 - 18.04.2016 06:00 (UTC)","58"
"Austria (AT)","18.04.2016 06:00 - 18.04.2016 06:15 (UTC)","77"
"Austria (AT)","18.04.2016 06:15 - 18.04.2016 06:30 (UTC)","96"
"Austria (AT)","18.04.2016 06:30 - 18.04.2016 06:45 (UTC)","116"
"Austria (AT)","18.04.2016 06:45 - 18.04.2016 07:00 (UTC)","135"
"Austria (AT)","18.04.2016 07:00 - 18.04.2016 07:15 (UTC)","154"
"Austria (AT)","18.04.2016 07:15 - 18.04.2016 07:30 (UTC)","172"
"Austria (AT)","18.04.2016 07:30 - 18.04.2016 07:45 (UTC)","191"
"Austria (AT)","18.04.2016 07:45 - 18.04.2016 08:00 (UTC)","210"
"Austria (AT)","18.04.2016 08:00 - 18.04.2016 08:15 (UTC)","227"
"Austria (AT)","18.04.2016 08:15 - 18.04.2016 08:30 (UTC)","243"
"Austria (AT)","18.04.2016 08:30 - 18.04.2016 08:45 (UTC)","259"
"Austria (AT)","18.04.2016 08:45 - 18.04.2016 09:00 (UTC)","275"
"Austria (AT)","18.04.2016 09:00 - 18.04.2016 09:15 (UTC)","282"
"Austria (AT)","18.04.2016 09:15 - 18.04.2016 09:30 (UTC)","290"
"Austria (AT)","18.04.2016 09:30 - 18.04.2016 09:45 (UTC)","297"
"Austria (AT)","18.04.2016 09:45 - 18.04.2016 10:00 (UTC)","304"
"Austria (AT)","18.04.2016 10:00 - 18.04.2016 10:15 (UTC)","315"
"Austria (AT)","18.04.2016 10:15 - 18.04.2016 10:30 (UTC)","325"
"Austria (AT)","18.04.2016 10:30 - 18.04.2016 10:45 (UTC)","334"
"Austria (AT)","18.04.2016 10:45 - 18.04.2016 11:00 (UTC)","344"
"Austria (AT)","18.04.2016 11:00 - 18.04.2016 11:15 (UTC)","340"
"Austria (AT)","18.04.2016 11:15 - 18.04.2016 11:30 (UTC)","336"
"Austria (AT)","18.04.2016 11:30 - 18.04.2016 11:45 (UTC)","332"
"Austria (AT)","18.04.2016 11:45 - 18.04.2016 12:00 (UTC)","327"
"Austria (AT)","18.04.2016 12:00 - 18.04.2016 12:15 (UTC)","326"
"Austria (AT)","18.04.2016 12:15 - 18.04.2016 12:30 (UTC)","326"
"Austria (AT)","18.04.2016 12:30 - 18.04.2016 12:45 (UTC)","325"
"Austria (AT)","18.04.2016 12:45 - 18.04.2016 13:00 (UTC)","324"
"Austria (AT)","18.04.2016 13:00 - 18.04.2016 13:15 (UTC)","302"
"Austria (AT)","18.04.2016 13:15 - 18.04.2016 13:30 (UTC)","280"
"Austria (AT)","18.04.2016 13:30 - 18.04.2016 13:45 (UTC)","258"
"Austria (AT)","18.04.2016 13:45 - 18.04.2016 14:00 (UTC)","237"
"Austria (AT)","18.04.2016 14:00 - 18.04.2016 14:15 (UTC)","217"
"Austria (AT)","18.04.2016 14:15 - 18.04.2016 14:30 (UTC)","199"
"Austria (AT)","18.04.2016 14:30 - 18.04.2016 14:45 (UTC)","180"
"Austria (AT)","18.04.2016 14:45 - 18.04.2016 15:00 (UTC)","161"
"Austria (AT)","18.04.2016 15:00 - 18.04.2016 15:15 (UTC)","153"
"Austria (AT)","18.04.2016 15:15 - 18.04.2016 15:30 (UTC)","144"
"Austria (AT)","18.04.2016 15:30 - 18.04.2016 15:45 (UTC)","135"
"Austria (AT)","18.04.2016 15:45 - 18.04.2016 16:00 (UTC)","126"
"Austria (AT)","18.04.2016 16:00 - 18.04.2016 16:15 (UTC)","111"
"Austria (AT)","18.04.2016 16:15 - 18.04.2016 16:30 (UTC)","96"
"Austria (AT)","18.04.2016 16:30 - 18.04.2016 16:45 (UTC)","81"
"Austria (AT)","18.04.2016 16:45 - 18.04.2016 17:00 (UTC)","67"
"Austria (AT)","18.04.2016 17:00 - 18.04.2016 17:15 (UTC)","46"
"Austria (AT)","18.04.2016 17:15 - 18.04.2016 17:30 (UTC)","34"
"Austria (AT)","18.04.2016 17:30 - 18.04.2016 17:45 (UTC)","21"
"Austria (AT)","18.04.2016 17:45 - 18.04.2016 18:00 (UTC)","10"
"Austria (AT)","18.04.2016 18:00 - 18.04.2016 18:15 (UTC)","7"
"Austria (AT)","18.04.2016 18:15 - 18.04.2016 18:30 (UTC)","5"
"Austria (AT)","18.04.2016 18:30 - 18.04.2016 18:45 (UTC)","2"
"Austria (AT)","18.04.2016 18:45 - 18.04.2016 19:00 (UTC)","0"
"Austria (AT)","18.04.2016 19:00 - 18.04.2016 19:15 (UTC)","0"
"Austria (AT)","18.04.2016 19:15 - 18.04.2016 19:30 (UTC)","0"
"Austria (AT)","18.04.2016 19:30 - 18.04.2016 19:45 (UTC)","0"
"Austria (AT)","18.04.2016 19:45 - 18.04.2016 20:00 (UTC)","0"
"Austria (AT)","18.04.2016 20:00 - 18.04.2016 20:15 (UTC)","0"
"Austria (AT)","18.04.2016 20:15 - 18.04.2016 20:30 (UTC)","0"
"Austria (AT)","18.04.2016 20:30 - 18.04.2016 20:45 (UTC)","0"
"Austria (AT)","18.04.2016 20:45 - 18.04.2016 21:00 (UTC)","0"
"Austria (AT)","18.04.2016 21:00 - 18.04.2016 21:15 (UTC)","0"
"Austria (AT)","18.04.2016 21:15 - 18.04.2016 21:30 (UTC)","0"
"Austria (AT)","18.04.2016 21:30 - 18.04.2016 21:45 (UTC)","0"
"Austria (AT)","18.04.2016 21:45 - 18.04.2016 22:00 (UTC)","0"
"Austria (AT)","18.04.2016 22:00 - 18.04.2016 22:15 (UTC)","0"
"Austria (AT)","18.04.2016 22:15 - 18.04.2016 22:30 (UTC)","0"
"Austria (AT)","18.04.2016 22:30 - 18.04.2016 22:45 (UTC)","0"
"Austria (AT)","18.04.2016 22:45 - 18.04.2016 23:00 (UTC)","0"
"Austria (AT)","18.04.2016 23:00 - 18.04.2016 23:15 (UTC)","0"
"Austria (AT)","18.04.2016 23:15 - 18.04.2016 23:30 (UTC)","0"
"Austria (AT)","18.04.2016 23:30 - 18.04.2016 23:45 (UTC)","0"
"Austria (AT)","18.04.2016 23:45 - 19.04.2016 00:00 (UTC)","0"
"Austria (AT)","19.04.2016 00:00 - 19.04.2016 00:15 (UTC)","0"
"Austria (AT)","19.04.2016 00:15 - 19.04.2016 00:30 (UTC)","0"
"Austria (AT)","19.04.2016 00:30 - 19.04.2016 00:45 (UTC)","0"
"Austria (AT)","19.04.2016 00:45 - 19.04.2016 01:00 (UTC)","0"
"Austria (AT)","19.04.2016 01:00 - 19.04.2016 01:15 (UTC)","0"
"Austria (AT)","19.04.2016 01:15 - 19.04.2016 01:30 (UTC)","0"
"Austria (AT)","19.04.2016 01:30 - 19.04.2016 01:45 (UTC)","0"
"Austria (AT)","19.04.2016 01:45 - 19.04.2016 02:00 (UTC)","0"
"Austria (AT)","19.04.2016 02:00 - 19.04.2016 02:15 (UTC)","0"
"Austria (AT)","19.04.2016 02:15 - 19.04.2016 02:30 (UTC)","0"
"Austria (AT)","19.04.2016 02:30 - 19.04.2016 02:45 (UTC)","0"
"Austria (AT)","19.04.2016 02:45 - 19.04.2016 03:00 (UTC)","0"
"Austria (AT)","19.04.2016 03:00 - 19.04.2016 03:15 (UTC)","0"
"Austria (AT)","19.04.2016 03:15 - 19.04.2016 03:30 (UTC)","0"
"Austria (AT)","19.04.2016 03:30 - 19.04.2016 03:45 (UTC)","0"
"Austria (AT)","19.04.2016 03:45 - 19.04.2016 04:00 (UTC)","0"
"Austria (AT)","19.04.2016 04:00 - 19.04.2016 04:15 (UTC)","2"
"Austria (AT)","19.04.2016 04:15 - 19.04.2016 04:30 (UTC)","5"
"Austria (AT)","19.04.2016 04:30 - 19.04.2016 04:45 (UTC)","8"
"Austria (AT)","19.04.2016 04:45 - 19.04.2016 05:00 (UTC)","11"
"Austria (AT)","19.04.2016 05:00 - 19.04.2016 05:15 (UTC)","34"
"Austria (AT)","19.04.2016 05:15 - 19.04.2016 05:30 (UTC)","50"
"Austria (AT)","19.04.2016 05:30 - 19.04.2016 05:45 (UTC)","67"
"Austria (AT)","19.04.2016 05:45 - 19.04.2016 06:00 (UTC)","84"
"Austria (AT)","19.04.2016 06:00 - 19.04.2016 06:15 (UTC)","109"
"Austria (AT)","19.04.2016 06:15 - 19.04.2016 06:30 (UTC)","136"
"Austria (AT)","19.04.2016 06:30 - 19.04.2016 06:45 (UTC)","162"
"Austria (AT)","19.04.2016 06:45 - 19.04.2016 07:00 (UTC)","189"
"Austria (AT)","19.04.2016 07:00 - 19.04.2016 07:15 (UTC)","212"
"Austria (AT)","19.04.2016 07:15 - 19.04.2016 07:30 (UTC)","235"
"Austria (AT)","19.04.2016 07:30 - 19.04.2016 07:45 (UTC)","259"
"Austria (AT)","19.04.2016 07:45 - 19.04.2016 08:00 (UTC)","283"
"Austria (AT)","19.04.2016 08:00 - 19.04.2016 08:15 (UTC)","299"
"Austria (AT)","19.04.2016 08:15 - 19.04.2016 08:30 (UTC)","315"
"Austria (AT)","19.04.2016 08:30 - 19.04.2016 08:45 (UTC)","330"
"Austria (AT)","19.04.2016 08:45 - 19.04.2016 09:00 (UTC)","345"
"Austria (AT)","19.04.2016 09:00 - 19.04.2016 09:15 (UTC)","362"
"Austria (AT)","19.04.2016 09:15 - 19.04.2016 09:30 (UTC)","379"
"Austria (AT)","19.04.2016 09:30 - 19.04.2016 09:45 (UTC)","395"
"Austria (AT)","19.04.2016 09:45 - 19.04.2016 10:00 (UTC)","412"
"Austria (AT)","19.04.2016 10:00 - 19.04.2016 10:15 (UTC)","423"
"Austria (AT)","19.04.2016 10:15 - 19.04.2016 10:30 (UTC)","435"
"Austria (AT)","19.04.2016 10:30 - 19.04.2016 10:45 (UTC)","445"
"Austria (AT)","19.04.2016 10:45 - 19.04.2016 11:00 (UTC)","457"
"Austria (AT)","19.04.2016 11:00 - 19.04.2016 11:15 (UTC)","461"
"Austria (AT)","19.04.2016 11:15 - 19.04.2016 11:30 (UTC)","466"
"Austria (AT)","19.04.2016 11:30 - 19.04.2016 11:45 (UTC)","470"
"Austria (AT)","19.04.2016 11:45 - 19.04.2016 12:00 (UTC)","474"
"Austria (AT)","19.04.2016 12:00 - 19.04.2016 12:15 (UTC)","467"
"Austria (AT)","19.04.2016 12:15 - 19.04.2016 12:30 (UTC)","459"
"Austria (AT)","19.04.2016 12:30 - 19.04.2016 12:45 (UTC)","451"
"Austria (AT)","19.04.2016 12:45 - 19.04.2016 13:00 (UTC)","444"
"Austria (AT)","19.04.2016 13:00 - 19.04.2016 13:15 (UTC)","423"
"Austria (AT)","19.04.2016 13:15 - 19.04.2016 13:30 (UTC)","402"
"Austria (AT)","19.04.2016 13:30 - 19.04.2016 13:45 (UTC)","381"
"Austria (AT)","19.04.2016 13:45 - 19.04.2016 14:00 (UTC)","359"
"Austria (AT)","19.04.2016 14:00 - 19.04.2016 14:15 (UTC)","336"
"Austria (AT)","19.04.2016 14:15 - 19.04.2016 14:30 (UTC)","313"
"Austria (AT)","19.04.2016 14:30 - 19.04.2016 14:45 (UTC)","289"
